NetworkType,SubType,.gmlFile,degree,betweenness,closeness,eigencentrality,coreness,layerness,pagerank,sum_friends_friends,transitivity
sbm,seed,0.8353313224716156,1.0,1.0,0.1466756233206274,1.0,1.0,0.9473684210526315,0.9539614586714388,1.0,0.0
sbm,seed,0.21144480947100086,1.0,0.7227827512592314,0.14300510242936562,0.5395964287051243,1.0,0.8421052631578947,1.0,0.6888888888888889,0.0
sbm,seed,0.8270974759514677,0.9090909090909091,0.5463570100738577,0.13716581446311177,0.2917715342882588,1.0,0.7368421052631579,0.9653608033947819,0.6666666666666666,0.0
sbm,seed,0.8385405949184542,0.9090909090909091,0.5589445422771528,0.13720790892750148,0.2766708324568004,1.0,0.631578947368421,0.9582998525730397,0.6,0.0
sbm,seed,0.9016333014466719,0.9090909090909091,0.577408098466912,0.14174642954195477,0.6094172347241416,1.0,0.8421052631578947,0.9237576085197603,0.6222222222222222,0.0
sbm,seed,0.7174695360521518,0.9090909090909091,0.8274965434058134,0.14339605351579204,0.40748140881146955,1.0,0.8947368421052632,0.9173016800311049,0.7111111111111111,0.0
sbm,seed,0.7614727136538699,0.9090909090909091,0.8449401558248799,0.1467122945184074,0.49942647780350125,1.0,0.8947368421052632,0.8669762321227341,0.8,0.0
sbm,seed,0.5215751732405569,0.9090909090909091,0.6665163554671041,0.14354074300565664,0.4477383388124113,1.0,0.9473684210526315,0.86799798032814,0.6666666666666666,0.0
sbm,seed,0.23357040542692065,0.9090909090909091,0.5397406067955681,0.13757784453073485,0.291063881461603,1.0,0.631578947368421,0.9144366643848775,0.6,0.0
sbm,seed,0.6617894170375282,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
sbm,non_seed,0.7807957787349699,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
sbm,non_seed,0.6993678672263652,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
sbm,non_seed,0.590967576365357,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
sbm,non_seed,0.6202770699206183,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
sbm,non_seed,0.2573973609430795,0.8181818181818182,0.907633911164449,0.14601639165798355,0.7122545037416277,1.0,0.8947368421052632,0.7839854556302807,1.0,0.0
